,guests_per_night,lead_time_scaled,avg_price_per_room_scaled,has_special_request,season_Spring,season_Summer,season_Winter,is_canceled
0,0.6666666666666666,1.712937815261909,-1.2375566894066463,0,False,False,False,0
1,0.4,-0.9603083398299767,0.042275254003208335,1,False,False,False,0
2,0.3333333333333333,-1.0091347536216093,-1.391087392790746,0,False,False,True,1
3,1.0,1.5542519704391031,-0.16284176571794898,0,True,False,False,1
4,1.0,-0.4354243915699261,-0.33172553944045857,0,True,False,False,1
5,1.0,3.202143435906704,0.2977503444343499,1,False,False,False,1
6,0.5,-0.6063168398406402,0.06898959639204137,1,False,False,False,0
7,0.5,-0.008193270893140677,0.009419683479010791,1,False,False,True,0
8,0.75,0.4556576601273692,-0.25803080181609056,1,False,True,False,0
9,0.4,-0.4842508053615587,0.8639715785149092,1,False,False,False,0
10,1.0,-1.0213413570695176,-0.6225126916499432,0,False,False,False,0
11,0.3333333333333333,-0.5941102363927321,1.0776863176255762,1,True,False,False,0
12,0.6666666666666666,-0.6551432536322729,-0.5313154538397881,0,False,False,False,1
13,0.5,0.13828597048175717,-0.4699031724861482,1,False,False,False,1
14,1.0,-0.4476309950178342,-0.33172553944045857,1,False,False,False,0
15,1.0,2.10354912559497,0.2977503444343499,1,False,True,False,1
16,1.0,-1.0213413570695176,-0.28566632842522865,0,False,False,False,0
17,0.5,-1.0091347536216093,-0.28566632842522865,1,False,True,False,0
18,0.5,0.1871123842733898,-1.2375566894066463,0,False,False,False,1
19,2.0,-0.8748621156946196,-1.0226137046689068,0,False,False,False,0
20,0.5,0.1871123842733898,-1.2375566894066463,0,False,False,False,1
21,1.0,0.46786426357527733,-1.1761444080530064,0,False,False,False,0
22,0.3333333333333333,-0.9969281501737012,-0.6234338758702478,0,True,False,False,0
23,0.6666666666666666,-0.5696970294969158,-0.009311062333849344,0,False,False,False,0
24,0.6666666666666666,0.5655170911585425,-0.33172553944045857,1,True,False,False,0
25,1.0,0.1871123842733898,0.27625604596057585,1,True,False,False,0
26,1.0,-0.2889451501950282,-1.2375566894066463,0,False,False,False,0
27,0.5,-0.9969281501737012,0.14421964105025029,0,True,False,False,1
28,0.3333333333333333,-0.5696970294969158,-2.0871956019342535,0,False,False,False,1
29,1.0,-0.33777156398666086,-0.7155522979007076,0,False,False,False,0
30,1.0,-0.984721546725793,2.216884136735595,1,False,False,False,0
31,0.5,0.28476521185665504,-0.546668524178198,1,False,False,False,0
33,2.0,-0.9969281501737012,-1.0993790563609567,1,False,False,True,0
34,1.0,-0.14246590882013038,-0.6080808055318379,0,False,False,False,0
35,2.0,-0.74058947776763,0.2977503444343499,1,True,False,False,0
36,0.3333333333333333,-0.6063168398406402,-0.7462584385775275,0,False,True,False,1
37,2.0,2.506367039375939,-1.1761444080530064,0,False,False,False,0
38,0.4,1.9936896945637965,-1.2759393652526712,0,False,False,False,1
39,0.6666666666666666,1.2490868842413991,0.5065521010367253,1,False,True,False,1
40,0.5,-0.2401187364033956,-0.35936106604959667,1,False,False,False,0
41,1.0,-0.5941102363927321,-0.10142948436430911,1,False,True,False,0
42,1.0,0.15049257392966534,0.5065521010367253,1,True,False,False,0
43,1.0,-0.5208706157052831,-0.221183433003907,1,False,True,False,1
44,0.5,-0.349978167434569,-1.391087392790746,1,False,False,False,0
45,0.6666666666666666,0.7608227463250731,-0.930495282638447,0,False,False,True,0
46,0.5,-0.6307300467364565,-0.9919075639920869,0,False,False,False,0
47,2.0,-0.349978167434569,-0.040017203010669265,0,True,False,False,0
48,0.5,-0.32556496053875267,-0.8015294917958034,1,False,False,False,0
49,0.25,-0.9358951329341604,0.629376663744005,1,False,False,True,0
50,0.14285714285714285,0.49227747047109366,-0.5328507608736289,0,True,False,False,0
51,0.5,1.0415746256269607,0.02139507834297058,0,True,False,False,1
52,0.3333333333333333,-0.9481017363820685,0.9631524129010373,1,True,False,False,0
53,0.5,-0.3988045812262016,-1.391087392790746,1,False,False,False,0
54,2.0,-0.8626555122467114,-0.5006093131629681,1,False,True,False,0
55,0.5,0.19931898772129794,0.9425792986475683,1,True,False,False,0
56,2.0,0.675376522189716,-0.33172553944045857,1,False,True,False,0
57,0.6666666666666666,0.4068312463357366,-0.35936106604959667,1,False,False,True,0
58,0.4,-0.5452838226010994,0.4697047322245413,0,True,False,False,1
59,0.6666666666666666,0.028426539450583786,-0.184336064191723,1,True,False,False,0
60,4.0,-0.9969281501737012,4.6887284612196,1,False,False,False,0
61,0.3333333333333333,-0.7894158915592625,0.45496578469966803,1,True,False,False,0
62,0.5,1.3223265049288482,-0.3163724691020486,0,False,True,False,0
64,0.6666666666666666,0.028426539450583786,-0.930495282638447,0,False,False,True,0
65,0.6666666666666666,-0.6551432536322729,1.6027613231991966,1,False,False,False,0
